title,url,price,location,beds,baths,type,posted,agent,featured,posted_days,district,municipality,bhk_from_title,type_from_title,semi_furnished,fully_furnished,brand_new,private_gate
"2BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-71/,31500,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,1,flat,11 days ago,NPB-Rent-Synthetic,True,11,Bhaktapur,Araniko Highway,2,flat,1,0,0,0
"2BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-72/,19500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",2,1,flat,19 days ago,NPB-Rent-Synthetic,True,19,Lalitpur,Tutepani,2,flat,0,0,0,0
"0BHK Commercial Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-73/,42000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",0,2,commercial,58 days ago,NPB-Rent-Synthetic,True,58,Kathmandu,Kathmandu,0,commercial,0,0,0,1
"2BHK Flat Rent in Ghattekulo, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-74/,32500,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",2,1,flat,20 days ago,NPB-Rent-Synthetic,False,20,Kathmandu,Kathmandu,2,flat,0,0,0,1
"3BHK Flat Rent in Mahankal, Mahankal Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-75/,42500,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",3,1,flat,20 days ago,NPB-Rent-Synthetic,False,20,Kathmandu,Mahankal Road,3,flat,0,1,1,1
"1BHK Flat Rent in Kupondole, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-76/,15000,"Kupondole, Lalitpur-10, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 00779, Nepal",1,1,flat,21 days ago,NPB-Rent-Synthetic,True,21,Lalitpur,Lalitpur,1,flat,0,0,0,0
"1BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-77/,9500,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",1,1,flat,1 days ago,NPB-Rent-Synthetic,False,1,Kathmandu,Tokha,1,flat,0,0,0,0
"1BHK Flat Rent in Ekantakuna, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-78/,22500,"Ekantakuna, Lalitpur-13, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,flat,48 days ago,NPB-Rent-Synthetic,False,48,Lalitpur,Lalitpur,1,flat,0,1,0,0
"2BHK Flat Rent in Purano Thimi- Naya Thimi, Inaya Tole, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-79/,37500,"Purano Thimi- Naya Thimi, Inaya Tole, Madhyapur Thimi-05, Inaya Tole, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,1,flat,30 days ago,NPB-Rent-Synthetic,True,30,Bhaktapur,Inaya Tole,2,flat,0,0,0,0
"4BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-80/,54500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",4,1,flat,10 days ago,NPB-Rent-Synthetic,True,10,Lalitpur,Lalitpur,4,flat,0,0,0,0
"1BHK Room Rent in Bagdol, Basnetgaun, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-81/,5000,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,room,36 days ago,NPB-Rent-Synthetic,True,36,Lalitpur,Basnetgaun,1,room,0,1,0,1
"2BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-82/,21500,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,1,flat,47 days ago,NPB-Rent-Synthetic,True,47,Bhaktapur,Araniko Highway,2,flat,0,0,0,0
"2BHK Flat Rent in Baneshwor Banquet, Saraswati Marg, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-83/,23500,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",2,2,flat,40 days ago,NPB-Rent-Synthetic,False,40,Kathmandu,Saraswati Marg,2,flat,0,0,0,0
"1BHK Flat Rent in kausaltar, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-84/,25500,"kausaltar, Araniko Highway, sachet marga tole, Kaushaltar, Madhyapur Thimi-02, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44810, Nepal",1,1,flat,21 days ago,NPB-Rent-Synthetic,True,21,Bhaktapur,Araniko Highway,1,flat,1,0,0,0
"2BHK Flat Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-85/,19500,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2,1,flat,34 days ago,NPB-Rent-Synthetic,True,34,Lalitpur,Mahalaxmi,2,flat,0,0,1,1
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-86/,26500,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,1,flat,56 days ago,NPB-Rent-Synthetic,True,56,Kathmandu,Makkhan Tol,2,flat,0,0,0,0
"2BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-87/,27500,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,1,flat,34 days ago,NPB-Rent-Synthetic,True,34,Kathmandu,budhalinkantha main road,2,flat,0,1,0,0
"3BHK Flat Rent in Purano Thimi- Naya Thimi, Inaya Tole, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-88/,45000,"Purano Thimi- Naya Thimi, Inaya Tole, Madhyapur Thimi-05, Inaya Tole, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",3,1,flat,3 days ago,NPB-Rent-Synthetic,True,3,Bhaktapur,Inaya Tole,3,flat,1,0,0,0
"2BHK Flat Rent in Purano Thimi- Naya Thimi, Inaya Tole, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-89/,33000,"Purano Thimi- Naya Thimi, Inaya Tole, Madhyapur Thimi-05, Inaya Tole, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,1,flat,3 days ago,NPB-Rent-Synthetic,True,3,Bhaktapur,Inaya Tole,2,flat,0,0,0,1
"2BHK Commercial Rent in Buddhanilkantha Bus Stop, Golfutar Main Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-90/,45500,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,1,commercial,50 days ago,NPB-Rent-Synthetic,True,50,Kathmandu,Golfutar Main Road,2,commercial,0,0,1,0
"1BHK Flat Rent in Mahankal, Mahankal Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-91/,21500,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",1,2,flat,28 days ago,NPB-Rent-Synthetic,False,28,Kathmandu,Mahankal Road,1,flat,1,0,0,0
"1BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-92/,12000,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",1,1,flat,45 days ago,NPB-Rent-Synthetic,True,45,Lalitpur,Lalitpur,1,flat,0,0,1,1
"4BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-93/,55500,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",4,1,flat,29 days ago,NPB-Rent-Synthetic,False,29,Kathmandu,Tokha,4,flat,0,0,0,0
"0BHK Commercial Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-94/,34000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",0,1,commercial,11 days ago,NPB-Rent-Synthetic,True,11,Kathmandu,Makkhan Tol,0,commercial,0,0,0,0
"2BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-95/,31000,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",2,1,flat,43 days ago,NPB-Rent-Synthetic,False,43,Lalitpur,Lalitpur,2,flat,1,0,1,0
"2BHK Flat Rent in Banasthali, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-96/,35000,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2,1,flat,7 days ago,NPB-Rent-Synthetic,True,7,Kathmandu,Kathmandu,2,flat,0,0,0,0
"2BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-97/,21000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,1,flat,13 days ago,NPB-Rent-Synthetic,False,13,Kathmandu,budhalinkantha main road,2,flat,0,0,1,0
"2BHK Flat Rent in Jhamsikhel, Dhobighat, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-98/,24000,"Jhamsikhel, Dhobighat, Lalitpur-03, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 44690, Nepal",2,1,flat,1 days ago,NPB-Rent-Synthetic,True,1,Lalitpur,Dhobighat,2,flat,0,0,1,0
"2BHK Flat Rent in Bagdol, Basnetgaun, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-99/,33000,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",2,2,flat,34 days ago,NPB-Rent-Synthetic,True,34,Lalitpur,Basnetgaun,2,flat,0,0,0,1
"2BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-100/,21500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",2,1,flat,55 days ago,NPB-Rent-Synthetic,True,55,Lalitpur,Lalitpur,2,flat,1,0,0,0
"3BHK Flat Rent in Kupondole, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-101/,41000,"Kupondole, Lalitpur-10, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 00779, Nepal",3,1,flat,4 days ago,NPB-Rent-Synthetic,False,4,Lalitpur,Lalitpur,3,flat,0,0,0,1
"1BHK Flat Rent in Balkot, Balkot-Biruwa Road, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-102/,12000,"Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",1,1,flat,37 days ago,NPB-Rent-Synthetic,True,37,Bhaktapur,Balkot-Biruwa Road,1,flat,0,0,0,0
"1BHK Flat Rent in Ekantakuna, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-103/,19500,"Ekantakuna, Lalitpur-13, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,flat,58 days ago,NPB-Rent-Synthetic,False,58,Lalitpur,Lalitpur,1,flat,1,0,0,0
"1BHK Room Rent in Sankhamul Marg, Shankhamul Chok, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-104/,11500,"Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,room,59 days ago,NPB-Rent-Synthetic,False,59,Kathmandu,Shankhamul Chok,1,room,1,0,0,0
"2BHK Commercial Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-105/,35000,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",2,2,commercial,22 days ago,NPB-Rent-Synthetic,True,22,Lalitpur,Tutepani,2,commercial,0,0,1,1
"2BHK Flat Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-106/,26000,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2,2,flat,58 days ago,NPB-Rent-Synthetic,True,58,Lalitpur,Mahalaxmi,2,flat,0,0,0,0
"1BHK Flat Rent in Bagdol, Basnetgaun, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-107/,24000,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,2,flat,11 days ago,NPB-Rent-Synthetic,True,11,Lalitpur,Basnetgaun,1,flat,0,0,0,0
"3BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-108/,41000,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",3,1,flat,14 days ago,NPB-Rent-Synthetic,True,14,Kathmandu,Tokha,3,flat,0,0,0,0
"1BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-109/,22000,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",1,1,flat,17 days ago,NPB-Rent-Synthetic,True,17,Lalitpur,Lalitpur,1,flat,1,0,0,0
"2BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-110/,19500,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,2,flat,35 days ago,NPB-Rent-Synthetic,True,35,Kathmandu,Saraswati Nagar Marga,2,flat,0,0,0,0
"2BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-111/,26500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",2,1,flat,18 days ago,NPB-Rent-Synthetic,True,18,Lalitpur,Lalitpur,2,flat,0,0,0,0
"2BHK Flat Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-112/,34000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2,2,flat,51 days ago,NPB-Rent-Synthetic,True,51,Kathmandu,Kathmandu,2,flat,0,0,0,0
"2BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-113/,23500,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,1,flat,15 days ago,NPB-Rent-Synthetic,True,15,Bhaktapur,Araniko Highway,2,flat,0,0,0,1
"2BHK Flat Rent in Ghattekulo, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-114/,38500,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",2,1,flat,1 days ago,NPB-Rent-Synthetic,True,1,Kathmandu,Kathmandu,2,flat,0,0,0,0
"1BHK Flat Rent in Kupondole, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-115/,19500,"Kupondole, Lalitpur-10, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 00779, Nepal",1,1,flat,4 days ago,NPB-Rent-Synthetic,False,4,Lalitpur,Lalitpur,1,flat,0,0,1,1
"1BHK Room Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-116/,7000,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1,1,room,51 days ago,NPB-Rent-Synthetic,False,51,Kathmandu,Saraswati Nagar Marga,1,room,0,0,0,0
"1BHK Flat Rent in Jhamsikhel, Dhobighat, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-117/,12500,"Jhamsikhel, Dhobighat, Lalitpur-03, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 44690, Nepal",1,1,flat,35 days ago,NPB-Rent-Synthetic,False,35,Lalitpur,Dhobighat,1,flat,1,0,0,0
"1BHK Commercial Rent in Dhapakhel, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-118/,59500,"Dhapakhel, Lalitpur-24, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 41700, Nepal",1,2,commercial,47 days ago,NPB-Rent-Synthetic,True,47,Lalitpur,Lalitpur,1,commercial,1,0,0,0
"1BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-119/,17500,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",1,1,flat,7 days ago,NPB-Rent-Synthetic,True,7,Kathmandu,Tokha,1,flat,0,0,0,0
"1BHK Room Rent in Banasthali, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-120/,6500,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",1,1,room,40 days ago,NPB-Rent-Synthetic,True,40,Kathmandu,Kathmandu,1,room,0,0,0,0
"1BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-121/,23000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",1,1,flat,31 days ago,NPB-Rent-Synthetic,True,31,Kathmandu,budhalinkantha main road,1,flat,0,0,0,0
"3BHK Commercial Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-122/,73000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",3,1,commercial,26 days ago,NPB-Rent-Synthetic,True,26,Kathmandu,Makkhan Tol,3,commercial,0,0,1,1
"1BHK Flat Rent in Baneshwor Banquet, Saraswati Marg, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-123/,18000,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,flat,3 days ago,NPB-Rent-Synthetic,False,3,Kathmandu,Saraswati Marg,1,flat,0,0,1,1
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-124/,23000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,1,flat,47 days ago,NPB-Rent-Synthetic,True,47,Kathmandu,Makkhan Tol,2,flat,0,0,1,0
"0BHK Commercial Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-125/,33500,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",0,2,commercial,6 days ago,NPB-Rent-Synthetic,False,6,Kathmandu,Makkhan Tol,0,commercial,0,0,0,0
"2BHK Flat Rent in Bagdol, Basnetgaun, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-126/,20000,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",2,1,flat,55 days ago,NPB-Rent-Synthetic,True,55,Lalitpur,Basnetgaun,2,flat,0,0,0,0
"1BHK Room Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-127/,12000,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1,1,room,36 days ago,NPB-Rent-Synthetic,True,36,Kathmandu,Saraswati Nagar Marga,1,room,1,0,1,0
"3BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-128/,36000,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",3,1,flat,Today,NPB-Rent-Synthetic,True,0,Bhaktapur,Araniko Highway,3,flat,1,0,0,1
"2BHK Flat Rent in Banasthali, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-129/,36000,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2,1,flat,7 days ago,NPB-Rent-Synthetic,True,7,Kathmandu,Kathmandu,2,flat,1,0,0,0
"3BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-130/,37500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",3,1,flat,35 days ago,NPB-Rent-Synthetic,True,35,Lalitpur,Tutepani,3,flat,0,0,0,1
"2BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-131/,35500,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,1,flat,10 days ago,NPB-Rent-Synthetic,True,10,Kathmandu,Saraswati Nagar Marga,2,flat,0,0,1,0
"3BHK Commercial Rent in Buddhanilkantha Bus Stop, Golfutar Main Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-132/,44500,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",3,1,commercial,52 days ago,NPB-Rent-Synthetic,True,52,Kathmandu,Golfutar Main Road,3,commercial,0,0,0,0
"3BHK Flat Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-133/,48000,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",3,2,flat,26 days ago,NPB-Rent-Synthetic,False,26,Kathmandu,Kathmandu,3,flat,0,0,0,0
"1BHK Flat Rent in Sankhamul Marg, Shankhamul Chok, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-134/,10500,"Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,flat,58 days ago,NPB-Rent-Synthetic,True,58,Kathmandu,Shankhamul Chok,1,flat,0,1,0,1
"1BHK Room Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-135/,6500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",1,1,room,31 days ago,NPB-Rent-Synthetic,True,31,Lalitpur,Lalitpur,1,room,0,0,0,0
"4BHK Flat Rent in Ghattekulo, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-136/,58500,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",4,2,flat,50 days ago,NPB-Rent-Synthetic,False,50,Kathmandu,Kathmandu,4,flat,0,0,0,0
"2BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-137/,20500,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,2,flat,10 days ago,NPB-Rent-Synthetic,True,10,Kathmandu,Saraswati Nagar Marga,2,flat,1,0,0,0
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-138/,26000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,1,flat,42 days ago,NPB-Rent-Synthetic,False,42,Kathmandu,Makkhan Tol,2,flat,0,0,0,0
"1BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-139/,26500,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",1,2,flat,13 days ago,NPB-Rent-Synthetic,False,13,Kathmandu,budhalinkantha main road,1,flat,0,0,0,0
"1BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-140/,9000,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1,1,flat,25 days ago,NPB-Rent-Synthetic,True,25,Kathmandu,Saraswati Nagar Marga,1,flat,0,0,0,1
"1BHK Room Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-141/,7000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",1,1,room,19 days ago,NPB-Rent-Synthetic,False,19,Kathmandu,Kathmandu,1,room,0,0,0,0
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-142/,32500,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,1,flat,33 days ago,NPB-Rent-Synthetic,True,33,Kathmandu,Makkhan Tol,2,flat,0,0,0,0
